Date,Close,Volume,Open,High,Low
2024-12-11,230.26,35385790,$226.41,$231.20,$226.26
2024-12-12,228.97,28204080,$229.83,$231.09,$227.63
2024-12-13,227.46,28768080,$228.40,$230.20,$225.8608
2024-12-16,232.93,37552100,$230.23,$233.00,$228.01
2024-12-17,231.15,35948130,$232.39,$232.73,$227.85
2024-12-18,220.52,43281440,$230.77,$231.3999,$220.11
2024-12-19,223.29,39918740,$224.91,$226.09,$222.92
2024-12-20,224.92,88279180,$219.84,$226.21,$218.73
2024-12-23,225.06,28070010,$225.01,$226.88,$223.90
2024-12-24,229.05,15007500,$226.94,$229.14,$226.13
2024-12-26,227.05,16174500,$228.50,$228.50,$226.6706
2024-12-27,223.75,27367150,$225.60,$226.03,$220.90
2024-12-30,221.3,28321240,$220.06,$222.9972,$218.43
2024-12-31,219.39,24819660,$222.965,$223.2299,$218.94
2025-01-02,220.22,33956580,$222.03,$225.15,$218.19
2025-01-03,224.19,27515610,$222.505,$225.36,$221.62
2025-01-06,227.61,31849830,$226.78,$228.835,$224.84
2025-01-07,222.11,28084160,$227.90,$228.381,$221.46
2025-01-08,222.13,25033290,$223.185,$223.52,$220.20
2025-01-10,218.94,36811530,$221.46,$221.71,$216.50
2025-01-13,218.46,27262660,$218.06,$219.40,$216.47
2025-01-14,217.76,24711650,$220.44,$221.82,$216.20
2025-01-15,223.35,31291260,$222.83,$223.57,$220.75
2025-01-16,220.66,24757280,$224.42,$224.65,$220.31
2025-01-17,225.94,42370120,$225.84,$226.51,$223.08
2025-01-21,230.71,39951460,$228.90,$231.78,$226.94
2025-01-22,235.01,41448220,$232.02,$235.44,$231.19
2025-01-23,235.42,26404360,$234.10,$235.52,$231.51
2025-01-24,234.85,25890740,$234.50,$236.40,$232.93
2025-01-27,235.42,49428330,$226.21,$235.61,$225.86
2025-01-28,238.15,41587190,$234.29,$241.77,$233.98
2025-01-29,237.07,26091720,$239.015,$240.39,$236.15
2025-01-30,234.64,32020730,$237.14,$237.95,$232.22
2025-01-31,237.68,36162380,$236.50,$240.29,$236.41
2025-02-03,237.42,37285870,$234.06,$239.25,$232.90
2025-02-04,242.06,29713810,$239.01,$242.52,$238.03
2025-02-05,236.17,38832040,$237.02,$238.32,$235.20
